P62258
Q04917
P27348
P30443
P04439
P01889
P30461
P30462
P30464
P18463
Q95365
Q04826
P30479
P30483
P30486
P30487
P30488
P18464
P30490
P30491
P30492
P30493
P14060
Q9H2F3
Q9Y3L3
P41595
P28335
Q96P26
Q9H0P0
P21589
P52209
O95336
P20848
Q4UJ75
Q5T5F5
P05067
P30542
P29275
P0DMS8
Q05901
Q9Y614
P11229
Q6ZNF0
Q96QF7
Q08AH3
Q9NUB1
Q4G176
Q9ULC5
Q08AH1
Q53FZ2
Q562R1
Q9BYX7
Q9H568
P12814
P35609
Q04771
Q03154
Q96HD9
O14672
O75078
P78536
Q9H013
P25100
O43506
Q9UKJ8
Q9UKF5
P08913
Q7Z6V5
Q96EY9
P00813
Q7Z695
Q3MIX3
Q5VUY0
O95622
P28332
Q15847
P55263
Q3LIE5
P07550
P10109
Q8IUX7
Q8WTP8
P55196
Q9H0P7
Q9UL18
A8MT82
P31946
P18465
Q29836
P30501
P04222
P30504
Q9TNN7
Q29963
P10321
Q07000
Q29865
Q00005
Q66LE6
Q9Y2T4
P13761
Q29974
P28221
P28223
P46098
O95264
Q8WXA8
Q70Z44
A5X5Y0
P47898
P34969
P49902
P56378
P05408
Q9UGI9
P17174
Q9NY61
Q5VST6
Q6PCB6
Q9UH17
Q9NRW3
Q9HC16
Q9BZC7
Q99758
Q8IZY2
O94911
Q8IUA7
Q8WWZ4
Q86UK0
Q86UQ4
Q9NUT2
O95342
Q9UBJ2
P61221
P45844
P42684
P16219
Q15027
O00400
Q96GR2
Q96AP0
Q8TDN7
Q9NUN7
P22303
Q15822
P30532
P17787
Q9UKV3
Q9Y615
P08172
P08173
P21399
O00767
Q8N9L9
O14561
P10323
Q4L235
P62736
P68133
Q8TDG2
Q8TDY3
Q9BYD9
P61163
Q14738
Q16537
Q13362
P01912
Q30134
Q9TQE0
Q95IE3
Q5Y7A7
Q8NAA4
P04217
Q9NQ94
Q8NF67
Q5SQ80
Q96GX2
P22760
Q8N5Z0
Q2M2I8
Q4LEZ3
Q9BTE6
P31941
Q96AK3
O95477
Q9NRK6
Q09428
Q9H221
Q8TB40
Q7L211
Q12979
Q969K4
Q16570
Q9NPB9
Q8NEB7
Q68CK6
Q9NR19
O95573
O60488
Q6NUN0
P60709
P68032
P63261
Q01718
P63267
Q8TC94
O43707
Q9NZK5
Q6NVV9
Q9H2U9
Q13443
O75689
A8MUL3
O00116
P32297
Q9UGM1
Q07001
Q04844
P07510
Q07912
P25106
Q5JWF8
O96019
O94805
Q8WYK0
Q9NPJ3
Q99798
Q3I5F7
O14734
Q8NER5
Q8TC27
Q9BZ11
Q8NCV1
Q99965
P78325
Q9NPF8
P51828
Q96PN6
P35612
O15204
Q8N7X0
P07327
P00325
P00326
Q13155
Q96B36
Q92685
Q13686
Q96Q83
Q9BT30
Q96BT7
Q6UXT8
Q9UM73
Q8N6M5
Q9NP70
Q9Y4X0
Q9H4A4
Q9C0C7
P04745
P19961
Q86W34
Q8IZ07
Q8N6S4
Q5CZ79
Q92688
A6NCL7
Q9UJX6
Q8NI99
O43827
Q15389
O15123
Q9Y264
P16157
Q01484
Q8N957
Q8IWZ3
Q86XL3
Q9GZV1
Q96BM1
Q8IV38
Q9NQW6
P61981
P63104
P01892
Q4AC99
P18462
P30450
P30512
P16188
P16189
P30455
P10316
Q09160
P10319
Q29940
Q31612
P30498
Q31610
Q29718
P30499
P30505
P30508
P30510
Q29960
Q95604
Q8TDX5
P13798
P33121
Q9UKU0
Q6P461
Q08043
P36896
P37023
O43184
Q13444
P18089
Q9UKF2
Q96M93
Q6DHV7
Q9BUB4
Q6P093
Q08462
O60266
P40145
O60503
P08319
P40394
Q0VDE8
Q15848
C9JUS6
Q9H2P0
P13945
Q96IZ2
Q96SZ5
Q6UXC1
Q9Y4W6
O95081
Q9HCK5
Q86SQ6
O95433
Q9GZX7
P55008
Q96NN9
P13746
Q96QU6
P30447
P05534
P10314
P16190
P30453
P30456
P30457
P01891
P30459
P30460
P30466
P03989
P30685
P30475
P30480
P30481
P30484
P30485
P30495
Q15173
P30153
P30154
Q30167
P20039
Q9GIY3
Q7L8J4
P46952
P31937
P0DKL9
P02763
P19652
P01009
Q5TYW2
Q5VUR7
A0PJZ0
P02750
P01023
U3KPV4
Q9UNA3
P29274
Q9NS82
P01011
Q6PD74
Q9Y478
O43741
Q9H7C9
Q13131
Q9Y312
Q9UDR5
P00505
Q7Z5M8
Q96GS6
Q7Z5R6
Q8IUX4
Q6NTF7
Q8N2K0
Q9BV23
Q96IU4
O95870
Q9H3Z7
Q8IZP0
Q9P2A4
O94929
Q9ULW3
Q8N961
O00763
Q9UKU7
Q9H845
P28330
P49748
Q15057
Q96P50
Q8NC06
Q5T8D3
Q9BR61
Q8N6N7
P43681
Q15825
P36544
P02708
P30926
P11230
O00590
P53396
P20309
P08912
Q86TX2
Q9Y305
Q15067
Q99424
P26439
P78314
O60239
P11171
Q13542
Q9NRA8
P08195
P08908
P28222
P28566
P30939
Q13639
P50406
Q9BXI3
Q969T7
Q8IZ83
Q676U5
P08697
A8K2U0
Q86V21
Q8NHS2
P78363
Q4W5N1
Q2M3G0
Q9NP58
O75027
Q9H172
Q9H222
Q6UXT9
P08910
Q8WTS1
Q96I13
Q8NFV4
P00519
O14639
Q6H8Q1
Q9P1F3
Q8N0Z2
Q6UWZ7
Q15018
Q13085
P11310
Q6JQN1
Q709F0
P45954
Q9BYF1
Q5QJU3
P12821
Q9GZZ6
P11766
Q5T7M4
Q9Y2D8
P12235
Q6ZN18
P42568
Q8N556
P51825
P51816
Q5BKT4
Q5I7T1
C9J202
Q8TF27
Q96P47
A6NIR3
Q5VTM2
P52594
Q53H12
Q8N157
P35869
Q96BJ3
O95831
O43918
P17516
O43687
Q92667
O43823
Q99996
Q9NWT8
Q53H80
Q12802
Q9ULX6
Q8N8R7
O75891
P49189
P24298
P15121
P84996
Q9Y673
Q9H6U8
Q86SJ2
Q16671
Q9BXJ7
Q8WXI4
Q8N1Q8
P49753
O15254
Q9NUZ1
Q96CM8
P0C7M7
Q9H6R3
P42025
P45381
P07311
P35368
P18825
Q86TW2
Q5VUY2
Q08828
Q8NFM4
O43306
P35318
P08588
Q9Y6U3
P12236
Q9H0C2
Q08117
P55198
Q8TED9
Q8N4X5
P43652
P51826
Q9UHB7
P06280
